d,v
2007-11-01,8.0
2007-11-02,8.0
2007-11-05,8.0
2007-11-07,8.0
2007-11-08,8.0
2007-11-09,8.0
2007-11-12,8.0
2007-11-13,8.0
2007-11-14,8.0
2007-11-15,8.0
2007-11-16,8.0
2007-11-19,8.0
2007-11-20,8.0
2007-11-21,8.0
2007-11-22,8.0
2007-11-23,8.0
2007-11-26,8.0
2007-11-27,8.0
2007-11-28,8.0
2007-11-29,8.0
2007-11-30,8.0
2007-12-03,8.0
2007-12-04,8.0
2007-12-05,8.0
2007-12-06,8.0
2007-12-07,8.0
2007-12-10,8.0
2007-12-11,8.0
2007-12-12,8.0
2007-12-13,8.0
2007-12-14,8.0
2007-12-17,8.0
2007-12-18,8.0
2007-12-19,8.0
2007-12-20,8.0
2007-12-21,8.0
2007-12-26,8.0
2007-12-27,8.0
2007-12-28,8.0
2008-01-02,8.0
2008-01-03,8.0
2008-01-04,8.0
2008-01-07,8.0
2008-01-08,8.0
2008-01-09,8.0
2008-01-10,8.0
2008-01-11,8.0
2008-01-14,8.0
2008-01-15,8.0
2008-01-16,8.0
2008-01-17,8.0
2008-01-18,8.0
2008-01-21,8.0
2008-01-22,8.0
2008-01-23,8.0
2008-01-24,8.0
2008-01-25,8.0
2008-01-28,8.0
2008-01-29,8.0
2008-01-30,8.0
2008-01-31,8.0
2008-02-01,8.0
2008-02-04,8.0
2008-02-05,8.0
2008-02-06,8.0
2008-02-07,8.0
2008-02-08,8.0
2008-02-11,8.0
2008-02-12,8.0
2008-02-13,8.0
2008-02-14,8.0
2008-02-15,8.0
2008-02-18,8.0
2008-02-19,8.0
2008-02-20,8.0
2008-02-21,8.0
2008-02-22,8.0
2008-02-25,8.0
2008-02-26,8.0
2008-02-27,8.0
2008-02-28,8.0
2008-02-29,8.0
2008-03-03,8.0
2008-03-04,8.0
2008-03-05,8.0
2008-03-06,8.0
2008-03-07,8.0
2008-03-10,8.0
2008-03-11,8.0
2008-03-12,8.0
2008-03-13,8.0
2008-03-14,8.0
2008-03-17,8.0
2008-03-18,8.0
2008-03-19,8.0
2008-03-25,8.0
2008-03-26,8.0
2008-03-27,8.0
2008-03-28,8.0
2008-03-31,8.0
2008-04-01,8.0
2008-04-03,8.0
2008-04-04,8.0
2008-04-07,8.0
2008-04-08,8.0
2008-04-09,8.0
2008-04-10,8.0
2008-04-11,8.0
2008-04-14,8.0
2008-04-15,8.0
2008-04-16,8.0
2008-04-17,8.0
2008-04-18,8.0
2008-04-21,8.0
2008-04-22,8.0
2008-04-23,8.0
2008-04-24,8.0
2008-04-25,8.0
2008-04-28,8.0
2008-04-29,8.0
2008-04-30,8.0
2008-05-02,8.0
2008-05-05,8.0
2008-05-06,8.0
2008-05-07,8.0
2008-05-08,8.0
2008-05-09,8.0
2008-05-12,8.75
2008-05-13,8.75
2008-05-14,8.75
2008-05-15,8.75
2008-05-16,8.75
2008-05-19,8.75
2008-05-20,8.75
2008-05-21,8.75
2008-05-22,8.75
2008-05-23,8.75
2008-05-26,8.75
2008-05-27,8.75
2008-05-28,8.75
2008-05-29,8.75
2008-05-30,8.75
2008-06-02,8.75
2008-06-03,8.75
2008-06-04,8.75
2008-06-05,8.75
2008-06-06,8.75
2008-06-09,8.75
2008-06-10,8.75
2008-06-11,8.75
2008-06-12,8.75
2008-06-13,8.75
2008-06-17,8.75
2008-06-18,8.75
2008-06-19,8.75
2008-06-20,8.75
2008-06-23,8.75
2008-06-24,8.75
2008-06-25,8.75
2008-06-26,8.75
2008-06-27,8.75
2008-06-30,8.75
2008-07-01,8.75
2008-07-02,8.75
2008-07-03,8.75
2008-07-04,8.75
2008-07-07,8.75
2008-07-08,8.75
2008-07-10,8.75
2008-07-11,8.75
2008-07-14,8.75
2008-07-15,8.75
2008-07-16,8.75
2008-07-17,8.75
2008-07-18,8.75
2008-07-21,8.75
2008-07-22,8.75
2008-07-23,8.75
2008-07-24,8.75
2008-07-25,8.75
2008-07-28,8.75
2008-07-29,8.75
2008-07-30,8.75
2008-07-31,8.75
2008-08-01,8.75
2008-08-04,8.75
2008-08-05,8.75
2008-08-06,8.75
2008-08-07,8.75
2008-08-08,8.75
2008-08-11,8.75
2008-08-12,8.75
2008-08-13,8.75
2008-08-14,8.75
2008-08-15,8.75
2008-08-19,8.75
2008-08-20,8.75
2008-08-21,8.75
2008-08-22,8.75
2008-08-25,8.75
2008-08-26,8.75
2008-08-27,8.75
2008-08-28,8.75
2008-08-29,8.75
2008-09-01,8.75
2008-09-02,8.75
2008-09-03,8.75
2008-09-04,8.75
2008-09-05,8.75
2008-09-08,8.75
2008-09-09,8.75
2008-09-10,8.75
2008-09-11,8.75
2008-09-12,8.75
2008-09-15,8.75
2008-09-16,8.75
2008-09-17,8.75
2008-09-18,8.75
2008-09-19,8.75
2008-09-22,9.75
2008-09-23,9.75
2008-09-24,9.75
2008-09-25,9.75
2008-09-26,9.75
2008-09-29,9.75
2008-09-30,9.75
2008-10-01,9.75
2008-10-02,9.75
2008-10-03,9.75
2008-10-06,10.5
2008-10-07,10.5
2008-10-08,10.5
2008-10-09,10.5
2008-10-10,10.5
2008-10-14,10.5
2008-10-15,10.5
2008-10-16,10.5
2008-10-17,10.5
2008-10-20,10.5
2008-10-21,10.5
2008-10-22,10.5
2008-10-23,10.5
2008-10-24,10.5
2008-10-27,10.5
2008-10-28,10.5
2008-10-29,10.5
2008-10-30,10.5
2008-10-31,10.5
2008-11-03,10.5
